Id,Label,timeset,paper,authors,iv,country,year,game,community,indegree,outdegree,Degree
10.1023/A:1026256404208,Gurven,,https://data.cooperationdatabank.org/id/ENG01057,Gurven,"Age-related independent variables, Education-related independent variables, Gender-related independent variables",BOL,1999,Public Goods Game,137,6,2,8
10.1016/j.jpubeco.2012.05.014,"Nikiforakis, Noussair, Wilkening",,https://data.cooperationdatabank.org/id/ENG01791,"Nikiforakis, Noussair, Wilkening",Punishment-related independent variables,AUS,2008,Public Goods Game,17,19,22,41
10.2139/ssrn.2598441,"He, Offerman, van de Ven",,https://data.cooperationdatabank.org/id/ENG01120,"He, Offerman, van de Ven","Behavior in the game-related independent variables, Communication-related independent variables, Expectations-related independent variables, Personality-related independent variables",NLD,2015,Prisoner's Dilemma Game,3,0,0,0
10.1037//0022-3514.50.2.386,"Haley,Strickland",,https://data.cooperationdatabank.org/id/ENG01085,"Haley,Strickland",Personality-related independent variables,USA,1984,Prisoner's Dilemma Game,4,0,0,0
10.1111/j.1465-7295.2012.00464.x,"FÜLLBRUNN, NEUGEBAUER",,https://data.cooperationdatabank.org/id/ENG00910,"FÜLLBRUNN, NEUGEBAUER","Period-related independent variables, Personality-related independent variables",DEU,2010,Public Goods Game,131,0,7,7
10.1007/s10683-012-9349-1,"Cherry, Cotten, Kroll",,https://data.cooperationdatabank.org/id/ENG00490,"Cherry, Cotten, Kroll",PGG-related independent variables,USA,2013,Public Goods Game,23,1,3,4
10.1016/j.econlet.2008.07.015,"Cherry, Kocher, Kroll, Netzer, Sutter",,https://data.cooperationdatabank.org/id/ENG01368,"Cherry, Kocher, Kroll, Netzer, Sutter",Ethnicity-related independent variables,"AUT, JPN, USA",2007,Public Goods Game,137,44,6,50
10.1016/0749-5978(90)90027-7,"May, Sawyer, Sniezek",,https://data.cooperationdatabank.org/id/ENG02671,"May, Sawyer, Sniezek",Feedback-related independent variables,USA,1998,Public Goods Game,23,4,5,9
10.1177/009102601204100510,"Kou, Xu, Zhong",,https://data.cooperationdatabank.org/id/ENG02605,"Kou, Xu, Zhong","Emotions-related independent variables, Gender-related independent variables",CHN,2012,Prisoner's Dilemma Game,5,0,0,0
NA,,,https://data.cooperationdatabank.org/id/ENG02668,,Personality-related independent variables,USA,2012,Prisoner's Dilemma Game,6,0,0,0
10.1371/journal.pone.0157840,"Brañas-Garza, Eckel, Fatas, Godoy, Wilson",,https://data.cooperationdatabank.org/id/ENG00756,"Brañas-Garza, Eckel, Fatas, Godoy, Wilson","Intergroup Competition -related independent variables, Ostracism-related independent variables",ESP,2008,Public Goods Game,137,0,7,7
10.1111/jeea.12152,"Kimbrough, Vostroknutov",,https://data.cooperationdatabank.org/id/ENG01338,"Kimbrough, Vostroknutov",Values-related independent variables,NLD,2011,Public Goods Game,137,1,6,7
10.1002/ejsp.2420210402,"Liebrand, Van Lange",,https://data.cooperationdatabank.org/id/ENG02465,"Liebrand, Van Lange","Expectations-related independent variables, Gender-related independent variables, Perception of the partner(s)-related independent variables, Personality-related independent variables","NLD, USA",1990,Prisoner's Dilemma Game,23,29,10,39
10.1016/s0376-6357(99)00054-6,"Brown, Rachlin",,https://data.cooperationdatabank.org/id/ENG00344,"Brown, Rachlin","Acquaintance-related independent variables, Period-related independent variables",USA,1999,Prisoner's Dilemma Game,7,0,0,0
10.1016/j.jpubeco.2011.05.013,"Fehr, Leibbrandt",,https://data.cooperationdatabank.org/id/ENG00843,"Fehr, Leibbrandt",Personality-related independent variables,BRA,2008,Public Goods Game,137,14,15,29
10.1016/0022-1031(90)90060-y,"Kuhlman, Liebrand, van Lange",,https://data.cooperationdatabank.org/id/ENG02470,"Kuhlman, Liebrand, van Lange","Game Type-related independent variables, Gender-related independent variables",NLD,1988,Other,8,0,0,0
10.1177/002200276801200208,"Gahagan, Tedeschi",,https://data.cooperationdatabank.org/id/ENG00934,"Gahagan, Tedeschi",Partner(s)' strategies-related independent variables,USA,1968,Prisoner's Dilemma Game,133,12,13,25
10.1007/s10645-008-9094-1,Tan,,https://data.cooperationdatabank.org/id/ENG02353,Tan,"PGG-related independent variables, Punishment-related independent variables, Symmetry-related independent variables",NLD,2007,Public Goods Game,17,17,26,43
10.2130/jjesp.35.324,Mori,,https://data.cooperationdatabank.org/id/ENG01732,Mori,"Acquaintance-related independent variables, Communication-related independent variables, Expectations-related independent variables",JPN,1996,Prisoner's Dilemma Game,133,0,4,4
10.1016/j.geb.2017.08.002,"Haruvy, Li, McCabe, Twieg",,https://data.cooperationdatabank.org/id/ENG01110,"Haruvy, Li, McCabe, Twieg","Communication-related independent variables, Reputation-related independent variables",USA,2016,Public Goods Game,131,0,33,33
10.3389/fpsyg.2016.01312,"Bell, Buchner, Mieth",,https://data.cooperationdatabank.org/id/ENG01688,"Bell, Buchner, Mieth","Perception of the partner(s)-related independent variables, Personality-related independent variables",DEU,2016,Prisoner's Dilemma Game,132,2,5,7
10.1038/nclimate2059,"Barrett, Dannenberg",,https://data.cooperationdatabank.org/id/ENG00152,"Barrett, Dannenberg","Personality-related independent variables, Step-level PGG-related independent variables",DEU,2013,Public Goods Game,23,4,12,16
10.3390/g2010586,"Levati,Zultan",,https://data.cooperationdatabank.org/id/ENG02679,"Levati,Zultan","PGG-related independent variables, Period-related independent variables, Sequentiality-related independent variables",DEU,2010,Public Goods Game,9,0,0,0
10.1037/h0034937,"Black, Higbee",,https://data.cooperationdatabank.org/id/ENG00237,"Black, Higbee","Gender-related independent variables, Period-related independent variables, Power-related independent variables, Punishment-related independent variables, Symmetry-related independent variables",USA,1972,Prisoner's Dilemma Game,133,3,5,8
10.1016/j.jpubeco.2007.11.004,"Alpizar,Carlsson,Johansson-Stenman",,https://data.cooperationdatabank.org/id/ENG00046,"Alpizar,Carlsson,Johansson-Stenman","Normative Behavior-related independent variables, Reputation-related independent variables",CRI,2006,Public Goods Game,131,12,9,21
10.1177/001872678403700304,Meeker,,https://data.cooperationdatabank.org/id/ENG01656,Meeker,"Framing-related independent variables, Game Type-related independent variables, Gender-related independent variables, Motivational Orientation-related independent variables, Partner(s)' strategies-related independent variables",USA,1983,Prisoner's Dilemma Game,133,2,1,3
10.1177/01461672962211005,"Bouas, Komorita",,https://data.cooperationdatabank.org/id/ENG00300,"Bouas, Komorita","Communication-related independent variables, Expectations-related independent variables, Identification-related independent variables",USA,1995,Public Goods Game,23,20,18,38
10.1002/ejsp.2420050304,Tognoli,,https://data.cooperationdatabank.org/id/ENG02399,Tognoli,"Game Duration-related independent variables, Partner(s)' strategies-related independent variables",GBR,1975,Prisoner's Dilemma Game,133,2,9,11
10.1016/j.jesp.2006.01.009,"Dijker, Nelissen, deVries",,https://data.cooperationdatabank.org/id/ENG01770,"Dijker, Nelissen, deVries","Emotions-related independent variables, Personality-related independent variables",NLD,2004,Prisoner's Dilemma Game,23,11,5,16
10.1016/j.jrp.2013.04.003,"Berg, Lilienfeld, Waldman",,https://data.cooperationdatabank.org/id/ENG00199,"Berg, Lilienfeld, Waldman","Game Type-related independent variables, Personality-related independent variables",USA,2013,Prisoner's Dilemma Game,37,0,7,7
10.1037/h0033969,"Pilisuk, Uren, Wood",,https://data.cooperationdatabank.org/id/ENG02587,"Pilisuk, Uren, Wood","Personality-related independent variables, Reputation-related independent variables",USA,1971,Other,133,0,1,1
10.1007/s10683-015-9470-z,"Frackenpohl, Hillenbrand, Kube",,https://data.cooperationdatabank.org/id/ENG00891,"Frackenpohl, Hillenbrand, Kube","Framing-related independent variables, Game Duration-related independent variables, Leadership-related independent variables",DEU,2014,Resource Dilemma,131,2,20,22
10.1037//0022-3514.50.3.543,"Brewer,Kramer",,https://data.cooperationdatabank.org/id/ENG00333,"Brewer,Kramer","Framing-related independent variables, Group Size-related independent variables, Identification-related independent variables, Period-related independent variables",USA,1985,Resource Dilemma,137,2,0,2
10.1093/restud/rdt017,"Aimone, Iannaccone, Makowsky, Rubin",,https://data.cooperationdatabank.org/id/ENG00021,"Aimone, Iannaccone, Makowsky, Rubin",PDG-related independent variables,USA,2010,Public Goods Game,131,2,18,20
10.1016/j.joep.2010.01.005,"Fatas, Morales, Ubeda",,https://data.cooperationdatabank.org/id/ENG00832,"Fatas, Morales, Ubeda","Period-related independent variables, Punishment-related independent variables",ESP,2008,Public Goods Game,131,1,10,11
10.1007/s12110-000-1009-z,"Osbaldiston, Sheldon",,https://data.cooperationdatabank.org/id/ENG02189,"Osbaldiston, Sheldon",Values-related independent variables,USA,2000,Prisoner's Dilemma Game,23,3,1,4
10.2466/pr0.1969.24.3.711,"Catron, Noland",,https://data.cooperationdatabank.org/id/ENG01796,"Catron, Noland","Game Duration-related independent variables, Period-related independent variables",USA,1969,Prisoner's Dilemma Game,133,0,8,8
10.1007/s11299-015-0163-2,Vu,,https://data.cooperationdatabank.org/id/ENG00751,Vu,Ethnicity-related independent variables,"CHN, DEU",2014,Public Goods Game,131,0,4,4
10.1371/journal.pone.0155773,"Bone, Bshary, Mesoudi, Raihani, Wallace",,https://data.cooperationdatabank.org/id/ENG00269,"Bone, Bshary, Mesoudi, Raihani, Wallace","Power-related independent variables, Punishment-related independent variables",GBR,2014,Prisoner's Dilemma Game,17,0,13,13
10.1016/j.jebo.2003.11.006,"Gächter, Herrmann, Thöni",,https://data.cooperationdatabank.org/id/ENG00923,"Gächter, Herrmann, Thöni","Education-related independent variables, Personality-related independent variables, Social Capital-related independent variables","BLR, RUS",2003,Public Goods Game,137,38,10,48
10.1287/mnsc.2014.1922,"Guillen, Merrett, Slonim",,https://data.cooperationdatabank.org/id/ENG01044,"Guillen, Merrett, Slonim",Intergroup Competition -related independent variables,AUS,2012,Public Goods Game,137,2,13,15
10.1016/j.econlet.2016.07.015,"Hargreaves Heap, Ramalingam, Stoddard",,https://data.cooperationdatabank.org/id/ENG01121,"Hargreaves Heap, Ramalingam, Stoddard","PGG-related independent variables, Symmetry-related independent variables",GBR,2016,Public Goods Game,131,1,4,5
10.1016/j.jesp.2009.02.017,"Gallucci, Kerr, Ouwerkerk, Park, Parks, Rumble, van Lange",,https://data.cooperationdatabank.org/id/ENG01319,"Gallucci, Kerr, Ouwerkerk, Park, Parks, Rumble, van Lange","Group Size-related independent variables, Normative Behavior-related independent variables, Ostracism-related independent variables, Reputation-related independent variables","NLD, USA",2008,Public Goods Game,23,9,19,28
10.1017/S0033291714002475,"Goodwin, Rogers, Saunders",,https://data.cooperationdatabank.org/id/ENG02115,"Goodwin, Rogers, Saunders","Age-related independent variables, Personality-related independent variables",GBR,2015,Prisoner's Dilemma Game,37,0,2,2
10.1177/0022002795039004002,"Fricks, Majeski",,https://data.cooperationdatabank.org/id/ENG01582,"Fricks, Majeski",Communication-related independent variables,USA,1995,Prisoner's Dilemma Game,134,4,10,14
10.1080/13504851.2016.1161709,"Jiao, Zhang, Zhou",,https://data.cooperationdatabank.org/id/ENG02651,"Jiao, Zhang, Zhou",Punishment-related independent variables,CHN,2016,Public Goods Game,17,0,5,5
10.1016/0001-6918(88)90047-9,"Dawes, Orbell, Van De Kragt",,https://data.cooperationdatabank.org/id/ENG00621,"Dawes, Orbell, Van De Kragt","Communication-related independent variables, Identification-related independent variables",USA,1988,Prisoner's Dilemma Game,23,29,4,33
10.1257/aer.98.2.376,"Andersen, Bulte, Gneezy, List",,https://data.cooperationdatabank.org/id/ENG00055,"Andersen, Bulte, Gneezy, List","Ethnicity-related independent variables, Framing-related independent variables, Gender-related independent variables",IND,2008,Public Goods Game,137,8,1,9
10.1007/s10683-014-9393-0,"Cason, Gangadharan",,https://data.cooperationdatabank.org/id/ENG00446,"Cason, Gangadharan","Game Type-related independent variables, Punishment-related independent variables",USA,2013,Public Goods Game,17,6,11,17
10.1002/ejsp.2420240110,"Fiedler, Hertel",,https://data.cooperationdatabank.org/id/ENG01134,"Fiedler, Hertel","Emotions-related independent variables, Feedback-related independent variables, Partner(s)' strategies-related independent variables, Priming-related independent variables",DEU,1993,Public Goods Game,23,8,7,15
10.1126/science.1153808,"Gachter, Herrmann, Thoni",,https://data.cooperationdatabank.org/id/ENG01133,"Gachter, Herrmann, Thoni",Punishment-related independent variables,"AUS, BLR, CHE, CHN, DEU, DNK, GBR, GRC, KOR, OMN, RUS, SAU, TUR, UKR, USA",2007,Public Goods Game,17,155,11,166
10.1006/jesp.1995.1001,"Wilke, van Dijk",,https://data.cooperationdatabank.org/id/ENG02447,"Wilke, van Dijk","Framing-related independent variables, PGG-related independent variables, Power-related independent variables",NLD,1993,Public Goods Game,23,57,0,57
10.1257/aer.102.2.720,"Dreber, Fudenberg, Rand",,https://data.cooperationdatabank.org/id/ENG00909,"Dreber, Fudenberg, Rand","Feedback-related independent variables, PDG-related independent variables, Personality-related independent variables, Values-related independent variables",USA,2010,Prisoner's Dilemma Game,132,27,13,40
10.1177/002200278102500106,"Finch, Lindskold",,https://data.cooperationdatabank.org/id/ENG01508,"Finch, Lindskold","Communication-related independent variables, Gender-related independent variables, Period-related independent variables",USA,1981,Prisoner's Dilemma Game,133,7,7,14
10.1080/1350485042000203724,Hichri,,https://data.cooperationdatabank.org/id/ENG01135,Hichri,Period-related independent variables,ESP,2001,Public Goods Game,131,0,4,4
10.3389/fpsyg.2015.01261,"Corr, Hargreaves Heap, Seger, Tsutsui",,https://data.cooperationdatabank.org/id/ENG00556,"Corr, Hargreaves Heap, Seger, Tsutsui",Identification-related independent variables,GBR,2015,Other,134,0,9,9
10.2307/2787085,Sell,,https://data.cooperationdatabank.org/id/ENG02159,Sell,"Gender-related independent variables, Partner(s)' strategies-related independent variables, Period-related independent variables",USA,1997,Public Goods Game,10,13,4,17
10.1016/0167-2681(93)90001-6,"Brown-Kruse, Hummels",,https://data.cooperationdatabank.org/id/ENG00346,"Brown-Kruse, Hummels","Gender-related independent variables, PGG-related independent variables, Period-related independent variables, Reputation-related independent variables",USA,1990,Public Goods Game,10,34,15,49
10.1086/669253,"Noussair, Stoop, van Soest",,https://data.cooperationdatabank.org/id/ENG02294,"Noussair, Stoop, van Soest","Education-related independent variables, Experimental Setting-related independent variables",NLD,2012,Public Goods Game,131,6,25,31
10.1177/002200277602000104,"Goehring, Kahan",,https://data.cooperationdatabank.org/id/ENG00982,"Goehring, Kahan","Gender-related independent variables, PDG-related independent variables",USA,1976,Prisoner's Dilemma Game,23,17,9,26
10.1177/1368430209342258,"Hardy, Van Vugt",,https://data.cooperationdatabank.org/id/ENG02478,"Hardy, Van Vugt","Criticality-related independent variables, Gender-related independent variables, Reputation-related independent variables",GBR,2008,Public Goods Game,137,2,9,11
10.2307/2786416,Ajzen,,https://data.cooperationdatabank.org/id/ENG00022,Ajzen,"Framing-related independent variables, Gender-related independent variables, Intentions-related independent variables, Motivational Orientation-related independent variables",USA,1971,Prisoner's Dilemma Game,133,1,2,3
10.1002/bs.3830120307,Geiwitz,,https://data.cooperationdatabank.org/id/ENG00969,Geiwitz,Punishment-related independent variables,USA,1967,Prisoner's Dilemma Game,133,2,3,5
10.1016/j.jesp.2010.04.013,"Dijk, Hoogervorst, de Heus",,https://data.cooperationdatabank.org/id/ENG00659,"Dijk, Hoogervorst, de Heus","Framing-related independent variables, Personality-related independent variables",NLD,2008,Prisoner's Dilemma Game,132,6,6,12
10.1016/s0749-5978(02)00511-3,"Bachrach, Chen",,https://data.cooperationdatabank.org/id/ENG00479,"Bachrach, Chen","Partner(s)' strategies-related independent variables, Personality-related independent variables",USA,2003,Public Goods Game,11,0,0,0
10.1177/0190272517703750,"Kuwabara, Yu",,https://data.cooperationdatabank.org/id/ENG01436,"Kuwabara, Yu",Punishment-related independent variables,SGP,2017,Public Goods Game,17,0,17,17
10.1177/002200277301700107,Baxter,,https://data.cooperationdatabank.org/id/ENG00170,Baxter,"Identification-related independent variables, Partner(s)' strategies-related independent variables, Period-related independent variables, Personality-related independent variables, Reputation-related independent variables",USA,1968,Prisoner's Dilemma Game,133,3,8,11
10.1016/j.jebo.2004.01.003,"Eckel,Grossman",,https://data.cooperationdatabank.org/id/ENG00754,"Eckel,Grossman",Identification-related independent variables,USA,2002,Public Goods Game,137,25,3,28
10.1080/00224545.1968.9712495,"Aranoff, Gahagan, Hiester, Tedeschi",,https://data.cooperationdatabank.org/id/ENG02364,"Aranoff, Gahagan, Hiester, Tedeschi",Partner(s)' strategies-related independent variables,USA,1967,Prisoner's Dilemma Game,133,3,2,5
10.2466/pms.1988.66.3.703,"Ferguson, Schmitt",,https://data.cooperationdatabank.org/id/ENG00855,"Ferguson, Schmitt","Gender-related independent variables, Perception of the partner(s)-related independent variables, Personality-related independent variables",USA,1988,Prisoner's Dilemma Game,133,1,4,5
10.1006/obhd.1994.1090,"Chen, Komorita",,https://data.cooperationdatabank.org/id/ENG00480,"Chen, Komorita",Communication-related independent variables,USA,1993,Public Goods Game,23,18,0,18
10.1177/0022002792036004003,"Aquino, Kay, Steisel",,https://data.cooperationdatabank.org/id/ENG00085,"Aquino, Kay, Steisel","Communication-related independent variables, Framing-related independent variables, PGG-related independent variables",USA,1992,Resource Dilemma,23,16,9,25
10.1177/002200276601000208,"Oskamp, Perlman",,https://data.cooperationdatabank.org/id/ENG01843,"Oskamp, Perlman","Acquaintance-related independent variables, Education-related independent variables, Perception of the partner(s)-related independent variables",USA,1966,Prisoner's Dilemma Game,133,12,7,19
10.1177/1059601115583580,"Gartzia, van Knippenberg",,https://data.cooperationdatabank.org/id/ENG00964,"Gartzia, van Knippenberg","Group Size-related independent variables, Personality-related independent variables",ESP,2014,Prisoner's Dilemma Game,10,0,4,4
10.1016/j.jesp.2004.03.001,Utz,,https://data.cooperationdatabank.org/id/ENG02428,Utz,"Personality-related independent variables, Priming-related independent variables",DEU,2003,Prisoner's Dilemma Game,23,1,15,16
10.2139/ssrn.956246,"Nikiforakis, Normann, Wallace",,https://data.cooperationdatabank.org/id/ENG01790,"Nikiforakis, Normann, Wallace","Punishment-related independent variables, Symmetry-related independent variables",GBR,2007,Public Goods Game,17,1,0,1
10.1177/002200276901300305,"Rothaus, Wallace",,https://data.cooperationdatabank.org/id/ENG02524,"Rothaus, Wallace","Identification-related independent variables, Intergroup Competition -related independent variables",USA,1969,Prisoner's Dilemma Game,133,6,6,12
10.1016/j.joep.2004.12.007,"De Cremer, Mulder, Wilke, van Dijk",,https://data.cooperationdatabank.org/id/ENG01745,"De Cremer, Mulder, Wilke, van Dijk","Feedback-related independent variables, Punishment-related independent variables",NLD,2005,Public Goods Game,23,6,14,20
10.1016/j.jebo.2017.07.007,"Gaudeul, Giannetti",,https://data.cooperationdatabank.org/id/ENG00967,"Gaudeul, Giannetti",Reputation-related independent variables,DEU,2013,Public Goods Game,17,0,5,5
10.1007/s12110-013-9167-y,"Fischer,Callander,Reddish,Bulbulia",,https://data.cooperationdatabank.org/id/ENG00874,"Fischer,Callander,Reddish,Bulbulia",Synchrony-related independent variables,NZL,2013,Public Goods Game,12,0,0,0
10.1080/00224545.1970.9922445,"Gallo, Winchell",,https://data.cooperationdatabank.org/id/ENG00946,"Gallo, Winchell","Gender-related independent variables, PDG-related independent variables, Perception of the partner(s)-related independent variables",USA,1969,Prisoner's Dilemma Game,133,2,3,5
10.1007/s00355-014-0817-8,Dannenberg,,https://data.cooperationdatabank.org/id/ENG00611,Dannenberg,"Communication-related independent variables, Leadership-related independent variables, Sequentiality-related independent variables",DEU,2013,Public Goods Game,131,2,10,12
10.18352/ijc.554,"Ros-Galvez, Rosa-Garcia",,https://data.cooperationdatabank.org/id/ENG02058,"Ros-Galvez, Rosa-Garcia","Expectations-related independent variables, Game Type-related independent variables, Identification-related independent variables, Social Capital-related independent variables",ESP,2015,Public Goods Game,13,0,0,0
10.1177/0022002794038004006,"Parks, Vu",,https://data.cooperationdatabank.org/id/ENG01876,"Parks, Vu","Ethnicity-related independent variables, Partner(s)' strategies-related independent variables","USA, VNM",1994,Prisoner's Dilemma Game,23,13,8,21
10.1002/ejsp.1976,"Lönnqvist, Verkasalo, Walkowitz, Wichardt",,https://data.cooperationdatabank.org/id/ENG01537,"Lönnqvist, Verkasalo, Walkowitz, Wichardt",Values-related independent variables,"DEU, FIN",2008,Prisoner's Dilemma Game,23,0,9,9
10.1007/s40503-016-0035-0,"Campos-Vazquez, Mejia",,https://data.cooperationdatabank.org/id/ENG00402,"Campos-Vazquez, Mejia","Leadership-related independent variables, Punishment-related independent variables",MEX,2015,Public Goods Game,17,0,17,17
10.1177/147470490600400127,"Kanazawa, Kiyonari, Takahashi, Tanida, Yamagishi",,https://data.cooperationdatabank.org/id/ENG02351,"Kanazawa, Kiyonari, Takahashi, Tanida, Yamagishi","Gender-related independent variables, Perception of the partner(s)-related independent variables",JPN,2006,Prisoner's Dilemma Game,137,6,4,10
10.1016/j.euroecorev.2017.07.013,"Gangadharan, Nikiforakis, Villeval",,https://data.cooperationdatabank.org/id/ENG00955,"Gangadharan, Nikiforakis, Villeval","Communication-related independent variables, PGG-related independent variables, Symmetry-related independent variables",FRA,2016,Public Goods Game,17,0,28,28
10.1002/bdm.1810,"Gonzalez, Juvina, Lebiere, Martin",,https://data.cooperationdatabank.org/id/ENG01604,"Gonzalez, Juvina, Lebiere, Martin",Feedback-related independent variables,USA,2011,Prisoner's Dilemma Game,37,3,9,12
10.2139/ssrn.905024,"Charness, Frechette, Qin",,https://data.cooperationdatabank.org/id/ENG00471,"Charness, Frechette, Qin","Institutional Choice-related independent variables, Reward-related independent variables",USA,2005,Prisoner's Dilemma Game,132,7,6,13
10.1016/j.chb.2013.06.034,"Ferguson, Jerabeck",,https://data.cooperationdatabank.org/id/ENG01235,"Ferguson, Jerabeck",Personality-related independent variables,USA,2013,Prisoner's Dilemma Game,23,1,4,5
10.1111/j.0956-7976.2005.01552.x,"Wong,Hong",,https://data.cooperationdatabank.org/id/ENG02586,"Wong,Hong","Acquaintance-related independent variables, Priming-related independent variables",HKG,2004,Prisoner's Dilemma Game,132,10,0,10
10.2307/2786924,Yamagishi,,https://data.cooperationdatabank.org/id/ENG02608,Yamagishi,"Personality-related independent variables, Punishment-related independent variables",USA,1988,Public Goods Game,23,41,1,42
10.2466/pr0.1975.36.2.371,Braver,,https://data.cooperationdatabank.org/id/ENG02667,Braver,"Game Type-related independent variables, Partner(s)' strategies-related independent variables, Perception of the partner(s)-related independent variables",USA,1975,Prisoner's Dilemma Game,133,1,15,16
10.1016/j.jesp.2017.02.008,"Balliet, Romano, Wu",,https://data.cooperationdatabank.org/id/ENG02051,"Balliet, Romano, Wu","Identification-related independent variables, Reputation-related independent variables",USA,2016,Prisoner's Dilemma Game,137,0,11,11
10.1037//0022-3514.75.3.695,"Insko,Schopler,Pemberton,Wieselquist,McIlraith,Currey,Gaertner",,https://data.cooperationdatabank.org/id/ENG01192,"Insko,Schopler,Pemberton,Wieselquist,McIlraith,Currey,Gaertner","Communication-related independent variables, Gender-related independent variables, Group Size-related independent variables, Sequentiality-related independent variables",USA,1997,Prisoner's Dilemma Game,134,10,0,10
10.1111/j.1467-9779.2011.01518.x,"NOSENZO, SEFTON",,https://data.cooperationdatabank.org/id/ENG01801,"NOSENZO, SEFTON","Personality-related independent variables, Power-related independent variables",GBR,2010,Public Goods Game,131,4,4,8
10.1007/s00355-015-0884-5,"Engelmann, Nikiforakis",,https://data.cooperationdatabank.org/id/ENG00784,"Engelmann, Nikiforakis",Punishment-related independent variables,AUS,2012,Public Goods Game,17,4,16,20
10.1177/1043463114533073,"Glassmann, Sauermann",,https://data.cooperationdatabank.org/id/ENG02114,"Glassmann, Sauermann",Group Size-related independent variables,DEU,2008,Public Goods Game,134,0,8,8
10.1177/0022002788032001008,Fleishman,,https://data.cooperationdatabank.org/id/ENG00880,Fleishman,"Gender-related independent variables, Partner(s)' strategies-related independent variables",USA,1988,Public Goods Game,23,29,13,42
10.1257/aer.90.4.980,"Fehr, Gächter",,https://data.cooperationdatabank.org/id/ENG00840,"Fehr, Gächter","Matching-related independent variables, Punishment-related independent variables",CHE,1996,Public Goods Game,17,285,8,293
