Title,paper_ID,Authors & year,Language,Duplicates,,doi
Does the endowment of contributors make a difference in threshold public good games?,ENG00032,Alberti & Cartwright (2010),ENG,,,10.1628/001522115x14180267843207
Full agreement and the provision of threshold public goods,ENG00033,Alberti & Cartwright (2016),ENG,,,10.1007/s11127-016-0321-z
Motivation in an asymmetric bargaining situation: A cross-cultural study,ENG00034,Alcock (1975),ENG,,,10.1080/00207597508247320
Predisposition and Behavior in a Collective Dilemma,ENG00035,Alcock & Mansell (1977),ENG,,,10.1177/002200277702100304
Does group size matter? Cheating and cooperation in Brazilian school children,ENG00036,"Alencar, Siqueira & Yamamoto (2008)",ENG,,,10.1016/j.evolhumbehav.2007.09.001
Context Modularity of Human Altruism,ENG00037,Alexander & Christia (2011),ENG,,,10.1126/science.1202599
"Players, persons, and purposes: Situational meaning and the Prisoner's Dilemma Game",ENG00038,Alexander & Weil (1969),ENG,,,10.2307/2786258
Experiments on the provision of public goods by groups: III Nondivisibility and free riding in 'real' groups,ENG00039,Alfano & Marwell (1980),ENG,,,10.2307/3033732
Follow-up analysis of use of forewarning and deception in psychological experiments,ENG00040,Allen (1983),ENG,,,10.2466/pr0.1983.52.3.899
Group Correspondence Biases and the Provision of Public Goods,ENG00041,Allison & Kerr (1994),ENG,,,10.1037//0022-3514.66.4.688
Effects of Experience on Performance in a Replenishable Resource Trap,ENG00042,Allison & Messick (1985),ENG,,,10.1037//0022-3514.49.4.943
Social Decision Making Processes and the Equal Partitionment of Shared Resources,ENG00043,"Allison, McQueen & Schaerfl (1992)",ENG,,,10.1016/0022-1031(92)90030-n
Effects of soliciting opinions on contributions to a public good,ENG00044,"Allison, Messick, & Samuelson (1985)",ENG,,,10.1111/j.1559-1816.1985.tb00896.x
Does context matter more for hypothetical than for actual contributions? Evidence from a natural field experiment,ENG00045,"Alpizar, Carlsson & Johansson-Stenman (2008)",ENG,,,10.1007/s10683-007-9194-9
"Anonymity, reciprocity and conformity: evidence from voluntary contributions to a national park in Costa Rica",ENG00046,"Alpizar, Carlsson, & Johansson-Stenman (2008a)",ENG,,,10.1016/j.jpubeco.2007.11.004
Do entrance fees crowd out donations for public goods? Evidence from a protected area in Costa Rica,ENG00047,"Alpízar, Martinsson & Nordén (2014)",ENG,,,10.1017/S1355770X14000485
Implementing the voluntary contribution game: A field experiment',ENG00048,Alston & Nowell (1996),ENG,,,10.1016/S0167-2681(96)00879-7
Community mobilization around social dilemmas: evidence from lab experiments in rural Mali,ENG00049,"Alzúa, Cárdenas, & Djebbari (2014)",ENG,,,NA
Learning process in public goods games,ENG00050,"Amado, Huang, Campos & Ferreira (2015)",ENG,,,10.1016/j.physa.2015.02.077
Cooperation over finite horizons: A theory and experiments,ENG00051,Ambrus & Pathak (2011),ENG,,,10.1016/j.jpubeco.2010.11.016
Mind-reading in strategic interaction: The impact of perceived similarity on projection and stereotyping,ENG00052,"Ames, Weber & Zou (2012)",ENG,,,10.1016/j.obhdp.2011.07.007
Economic games on the internet: The effect of $1 stakes,ENG00053,"Amir, Rand, & Gal (2012)",ENG,,,10.2139/ssrn.1968195
"Maladaptive aggression, moral perspective, and the socialization process",ENG00054,Anchor & Cross (1974),ENG,,,10.1037/h0036687
Do women supply more public goods than men? Preliminary experimental evidence from matrilineal and patriarchal societies,ENG00055,"Andersen, Bulte, Gneezy & List (2008)",ENG,,,10.1257/aer.98.2.376
Religion and cooperation in a public goods experiment,ENG00056,Anderson & Mellor (2009),ENG,,,10.1016/j.econlet.2009.05.016
Do non-strategic sanctions obey the law of demand? The demand for punishment in the voluntary contribution mechanism,ENG00057,Anderson & Putterman (2006),ENG,,,10.1016/j.geb.2004.08.007
Punishment in a regulatory setting: experimental evidence from the VCM,ENG00058,Anderson & Stafford (2003),ENG,,,10.1007/s11149-016-9296-4
Self-selection and variations in the laboratory measurement of other-regarding preferences across subject pools: Evidence from one college student and two adult samples,ENG00059,"Anderson, Burks, Carpenter, Gotte, Maurer, Nosenzo, Potter. Rocha, & Rustichini (2013)",ENG,,,10.1007/s10683-012-9327-7
Measuring altruism in a public goods experiment:a comparison of US and Czech subjects,ENG00060,"Anderson, DiTraglia, & Gerlach (2011)",ENG,,,10.1007/s10683-011-9274-8
Inequality and public good provision: An experimental analysis,ENG00061,"Anderson, Mellor & Milyo (2008)",ENG,,,10.1016/j.socec.2006.12.073
Social capital and contributions in a public-goods experiment,ENG00062,"Anderson, Mellor, & Milyo (2004)",ENG,,,10.1257/0002828041302082
Social identification and a solution to social dilemmas,ENG00063,Ando (1999),ENG,,,10.1111/1467-839x.00036
Why free ride? Strategies and learning in public goods experiments,ENG00064,Andreoni (1988),ENG,,,10.1016/0047-2727(88)90043-6
An experimental test of the public-goods crowding-out hypothesis,ENG00065,Andreoni (1993),ENG,,,NA
Cooperation in Public-Goods Experiments: Kindness or Confusion?,ENG00066,Andreoni (1995a),ENG,,,NA
Warm-glow versus cold-prickle: The effects of positive and negative framing on cooperation in experiments,ENG00067,Andreoni (1995b),ENG,,,10.2307/2118508
Gun for hire: Delegated enforcement and peer punishment in public goods provision,ENG00068,Andreoni & Gee (2012),ENG,,,10.1016/j.jpubeco.2012.08.003
Gunning for efficiency with third party enforcement in threshold public goods,ENG00069,Andreoni & Gee (2015),ENG,,,10.1007/s10683-014-9392-1
Rational Cooperation in the Finitely Repeated Prisoner's Dilemma - Experimental Evidence,ENG00070,Andreoni & Miller (1993),ENG,,,10.2307/2234532
Public goods experiments without confidentiality: a glimpse into fund-raising,ENG00071,Andreoni & Petrie (2004),ENG,,,10.1016/s0047-2727(03)00040-9
"Beauty, gender and stereotypes: Evidence from laboratory experiments",ENG00072,Andreoni & Petrie (2008),ENG,,,10.1016/j.joep.2007.07.008
Preplay contracting in the Prisoner's Dilemma,ENG00073,Andreoni & Varian (1999),ENG,,,10.1073/pnas.96.19.10933
What Makes an Allocation Fair? Some Experimental Evidence,ENG00074,"Andreoni, Brown & Vesterlund (2002)",ENG,,,10.1006/game.2001.0904
"Counter-Punishment, Communication, and Cooperation among Partners",ENG00075,"Andrighetto, Brandts, Conte, Sabater-Mir, Solaz, Székely, Á., & Villatoro (2016)",ENG,,,10.3389/fnbeh.2016.00053
Cooperation and discrimination within and across language borders: Evidence from children in a bilingual city,ENG00076,"Angerer, Glätzle-Rützler, Lergetporer, & Sutter (2016)",ENG,,,10.1016/j.euroecorev.2016.02.022
The influence of group singing on trust and cooperation,ENG00077,"Anshel, Kipper, & Illan (1988)",ENG,,,10.1093/jmt/25.3.145
"Cooperation in Microcredit Borrowing Groups: Identity, Sanctions, and Reciprocity in the Production of Collective Goods",ENG00078,Anthony (2005),ENG,,,10.1177/000312240507000307
Gender and Cooperation: Explaining Loan Repayment in Micro-Credit Groups,ENG00079,Anthony & Horne (2003),ENG,,,10.2307/1519827
"Public good provision, punishment, and the endowment origin: Experimental evidence",ENG00080,"Antinyan, Corazzini & Neururer (2015)",ENG,,,10.1016/j.socec.2015.03.007
Mental accounting in a sequential Prisoner's Dilemma game,ENG00081,Antonides (1994),ENG,,,10.1016/0167-4870(94)90009-4
Cooperation survives and cheating pays in a dynamic network structure with unreliable reputation,ENG00082,"Antonioni, Sánchez, & Tomassini (2016)",ENG,,,10.1038/srep27160
The Role of Rivalry: Public Goods Versus Common-Pool Resources,ENG00083,Apesteguia & Maier-Rigaud (2006),ENG,,,10.1177/0022002706290433
"A social dilemma perspective on cooperative behavior in organizations: The effects of scarcity, communication, and unequal access on the use of a shared resource",ENG00084,Aquino & Reed (1998),ENG,,,10.1177/1059601198234004
"The effects of resource distribution, voice, and decision framing on the provision of public goods",ENG00085,"Aquino, Steisel & Kay (1992)",ENG,,,10.1177/0022002792036004003
Original stakes and behavior in the prisoner's dilemma game,ENG00086,Aranoff & Tedeschi (1968),ENG,,,10.3758/BF03331202
Fundraising to a real-life public good—Evidence from the laboratory,ENG00087,"Arbel, Bar-El & Tobol (2016)",ENG,,,10.1016/j.socec.2016.09.002
I'm just a soul whose intentions are good': The role of communication in noisy repeated games,ENG00088,"Arechar, Dreber, Fudenberg, & Rand (2017)",ENG,,,10.1016/j.geb.2017.06.013
Conducting interactive experiments online,ENG00089,"Arechar, Gächter, & Molleman (2017)",ENG,,,10.2139/ssrn.2884409
Examining Spillovers between Long and Short Repeated Prisoner's Dilemma Games Played in the Laboratory,ENG00090,"Arechar, Kouchaki, & Rand (2017)",ENG,,,10.3390/g9010005
Turking overtime: how participant characteristics and behavior vary over time and day on Amazon Mechanical Turk,ENG00091,"Arechar, Kraft-Todd, & Rand (2017)",ENG,,,10.1007/s40881-017-0035-0
Reputation for cooperation: Contingent benefits in alliance activity,ENG00092,Arend (2009),ENG,,,10.1002/smj.740
An empirical test of Schutz' three-dimensional theory of group process in adolescent dyads,ENG00093,Armstrong & Roback (1977),ENG,,,10.1177/104649647700800404
Relationship of three motives to choice in the Prisoner's dilemma,ENG00094,Arnstein & Feigenbaum (1967),ENG,,,10.2466/pr0.1967.20.3.751
Acting for the Greater Good: Identification with Group Determines Choices in Sequential Contribution Dilemmas,ENG00095,"Arora, Logg, & Larrick (2016)",ENG,,,10.1002/bdm.1892
To cooperate or not to cooperate: Using new methodologies and frameworks to understand how affiliation influences cooperation in the present and future,ENG00096,"Arora, Peterson, Krantz, Hardisty, & Reddy (2012)",ENG,,,10.1016/j.joep.2012.02.006
Lawyers as Agents of the Devil in a Prisoner's Dilemma Game,ENG00097,Ashenfelter & Bloom (1993),ENG,,,10.3386/w18834
Insights from experimental economics on local cooperation in a small-scale fishery management system,ENG00098,"Aswani, Gurney, Mulville, Matera & Gurven (2013)",ENG,,,10.1016/j.gloenvcha.2013.08.003
Cautious defection: Group representatives cooperate and risk less than individuals,ENG00099,Atanasov & Kunreuther (2016),ENG,,,10.1002/bdm.1880
Framing perceptions of justice in a public goods dilemma,ENG00100,Atilgan (2017),ENG,,,NA
An experiment on Prisoner's Dilemma with confirmed proposals,ENG00101,"Attanasi, García-Gallego, Georgantzís & Montesano (2013)",ENG,,,10.1016/j.obhdp.2012.12.001
Building Trust? Conditional Cash Transfer Programmes and Social Capital,ENG00102,"Attanasio, Pellerano & Polanía Reyes (2009)",ENG,,,10.1111/j.1475-5890.2009.00092.x
Reasons for cooperation and defection in real-world social dilemmas,ENG00103,"Attari, Krantz, & Weber (2014)",ENG,,,NA
Criticality and Environmental Uncertainty in Step-Level Public Goods Dilemmas,ENG00104,Au (2004),ENG,,,10.1037/1089-2699.8.1.40
Effect of Order of Contribution in a Sequential Public Goods Dilemma,ENG00105,Au & Chung (2007),ENG,,,10.1007/s10726-006-9067-1
Effects of initial choices in the prisoner's dilemma,ENG00106,Au & Komorita (2002),ENG,,,10.1002/bdm.419
Effects of Group Size Uncertainty and Protocol of Play in a Common Pool Resource Dilemma,ENG00107,Au & Ngai (2003),ENG,,,10.1177/13684302030063004
Risk and prisoner's dilemma: A reinterpretation of Coombs' re‐parameterization,ENG00108,"Au, Lu, Leung, Yam & Fung (2012)",ENG,,,10.1002/bdm.743
Competition and cooperation in a public goods game: a field experiment,ENG00109,Augenblick & Cunha (2015),ENG,,,10.1111/ecin.12105
Intragroup social influence processes in intergroup behavior,ENG00110,"Avermaet, Buelens, Vanbeselaere, & Van Vaerenbergh (1999)",ENG,,,10.1002/(SICI)1099-0992(199908/09)29:5/6<815::AID-EJSP967>3.0.CO;2-Z
Effective Choice in the Prisoner's Dilemma,ENG00111,Axelrod (1980a),ENG,,,10.1177/002200278002400101
More Effective Choice in the Prisoner's Dilemma,ENG00112,Axelrod (1980b),ENG,,,10.1177/002200278002400301
Effect of increased reward on the two-person non-zero-sum game,ENG00113,Axelrod & May (1968),ENG,,,10.2466/pr0.1968.23.2.675
Beyond Geography: Cooperation with Persistent Links in the Absenceof Clustered Neighborhoods,ENG00114,"Axelrod, Riolo, & Cohen (2002)",ENG,,,10.1207/S15327957PSPR0604_08
Dictator's Game and Prisoner's Dilemma in an EEG study on money donation,ENG00115,"Back, Carra, Chiaramonte & Oliviera (2009)",ENG,,,10.3922/j.psns.2009.2.013
"Self-sacrifice, cooperation and aggression in women of varying sex-role orientations",ENG00116,Baefsky & Berger (1974),ENG,,,10.1177/0146167274001001100
The Influence of Psychopathic Traits on Scores and Behavior in the Prisoner's Dilemma,ENG00117,Baggio & Benning (2017),ENG,,,10.31234/osf.io/gahxj
Voluntary contribution games: efficient private provision of public goods,ENG00118,Bagnoli & McKee (1991),ENG,,,10.1111/j.1465-7295.1991.tb01276.x
Voluntary provision of public goods: The multiple unit case,ENG00119,"Bagnoli, Ben-David & McKee (1992)",ENG,,,10.1016/0047-2727(92)90006-2
Probability of Reciprocation in Repeated Prisoner's Dilemma Games,ENG00120,Baker & Rachlin (2001),ENG,,,10.1002/1099-0771(200101)14:1<51::AID-BDM365>3.0.CO;2-K
Self-control by pigeons in the prisoner's dilemma,ENG00121,Baker & Rachlin (2002a),ENG,,,10.3758/BF03196303
Teaching and learning in a probabilistic prisoner's dilemma,ENG00122,Baker & Rachlin (2002b),ENG,,,10.1016/s0376-6357(02)00015-3
"Equality, equity and incentives: An experiment",ENG00123,"Balafoutas, Kocher, Putterman & Sutter (2013)",ENG,,,10.1016/j.euroecorev.2013.01.005
Repayment and exclusion in a microfinance experiment,ENG00124,"Baland, Gangadharan, Maitra, & Somanathan (2017)",ENG,,,10.1016/j.jebo.2017.02.007
Centralized sanctioning and legitimate authority promote cooperation in humans,ENG00125,Baldassarri & Grossman (2011),ENG,,,10.1073/pnas.1105456108
The telltale face: Possible mechanisms behind defector and cooperator recognition revealed by emotional facial expression metrics,ENG00126,"Bálint, Bereczkei & Hernádi (2013)",ENG,,,10.1111/bjop.12007
A matter of time: Does the impact of social value orientation and self-efficacy on contributions to public goods depend on the temporal framing of the dilemma?,ENG00127,Balliet (2007),ENG,,,NA
Communication and cooperation in social dilemmas: A meta-analytic review,ENG00128,Balliet (2010),ENG,,,10.1177/0022002709352443
Ostracism and prosocial behavior: A social dilemma perspective,ENG00129,Balliet & Ferris (2013),ENG,,,10.1016/j.obhdp.2012.04.004
"Trust, Conflict, and Cooperation: A Meta-Analysis",ENG00130,Balliet & Van Lange (2012),ENG,,,10.1037/a0030939
"Trust, Punishment, and Cooperation Across 18 Societies: A Meta-Analysis",ENG00131,Balliet & Van Lange (2013),ENG,,,10.1177/1745691613488533
Relating Trait Self-Control and Forgiveness Within Prosocials and Proselfs: Compensatory Versus Synergistic Models,ENG00132,"Balliet, Li & Joireman (2011)",ENG,,,10.1037/a0024967
Sex Differences in Cooperation: A Meta-Analytic Review of Social Dilemmas,ENG00133,"Balliet, Li, Macfarlan, & Van Vugt (2011)",ENG,,,10.1037/a0025354
"Reward, Punishment, and Cooperation: A Meta-Analysis",ENG00134,"Balliet, Mulder, Van Lange (2011)",ENG,,,10.1037/a0023489
Social value orientation and cooperation in social dilemmas: A meta-analysis,ENG00135,"Balliet, Parks, & Joireman (2009)",ENG,,,10.1177/1368430209105040
"Political Ideology, Trust, and Cooperation: In-group favoritism among Republicans and Democrats during a US national election",ENG00136,"Balliet, Tybur, Wu, Antonellis, & Van Lange (2016)",ENG,,,10.1177/0022002716658694
Ingroup Favoritism in Cooperation: A Meta-Analysis,ENG00137,"Balliet, Wu & De Dreu (2014)",ENG,,,10.1037/a0037737
Perception of response alternatives in a prisoner's dilemma game,ENG00138,Baranowski & Summers (1972),ENG,,,10.1037/h0032111
Voluntary contributions and collective redistribution,ENG00139,Baranski (2016),ENG,,,10.1257/mic.20140240
Group size effect on cooperation in one-shot social dilemmas,ENG00140,Barcelo & Capraro (2015),ENG,,,10.1038/srep07937
"Trustworthiness and competitive altruism can also solve the ""tragedy of the commons""",ENG00141,Barclay (2004),ENG,,,10.1016/j.evolhumbehav.2004.04.002
Reputational benefits for altruistic punishment,ENG00142,Barclay (2006),ENG,,,10.1007/s10683-006-7052-9
Partner choice versus punishment in human Prisoner's Dilemmas,ENG00143,Barclay & Raihani (2016),ENG,,,10.1016/j.evolhumbehav.2015.12.004
Partner Choice Creates Competitive Altruism in Humans,ENG00144,Barclay & Willer (2007),ENG,,,10.1098/rspb.2006.0209
The experimetrics of public goods: Inferring motivations from contributions,ENG00145,Bardsley & Moffatt (2007),ENG,,,10.1007/s11238-006-9013-3
Conformity and reciprocity in public good provision,ENG00146,Bardsley & Sausgruber (2005),ENG,,,10.1016/j.joep.2005.02.001
Competition over Personal Resources Favors Contribution to Shared Resources in Human Groups,ENG00147,"Barker, Barclay & Reeve (2013)",ENG,,,10.1371/journal.pone.0058826
Big experimenter is watching you! Anonymity and prosocial behavior in the laboratory,ENG00148,"Barmettler, Fehr, & Zehnder (2012)",ENG,,,10.1016/j.geb.2011.09.003
Social Dilemmas and Shame-based Sanctions: Experimental results from rural Zimbabwe,ENG00149,Barr (2001),ENG,,,NA
Individual characteristics vs Experience: An experimental study on cooperation in prisoner's dilemma,ENG00150,"Barreda-Tarrazona, Jaramillo-Gutiérrez, Pavan, & Sabater-Grande (2017)",ENG,,,10.3389/fpsyg.2017.00596
Climate negotiations under scientific uncertainty,ENG00151,Barrett & Dannenberg (2012),ENG,,,10.1073/pnas.1208417109
Sensitivity of collective action to uncertainty about climate tipping points,ENG00152,Barrett & Dannenberg (2013),ENG,,,10.1038/nclimate2059
An experimental investigation into ‘pledge and review'in climate negotiations,ENG00153,Barrett & Dannenberg (2016),ENG,,,10.1007/s10584-016-1711-4
Tipping versus cooperating to supply a public good,ENG00154,Barrett & Dannenberg (2017),ENG,,,10.1093/jeea/jvw022
Egalitarianism and competitiveness,ENG00155,"Bartling, Fehr, Marechal, & Schunk (2009)",ENG,,,10.1257/aer.99.2.93
Oxytocin can hinder trust and cooperation in borderline personality disorder,ENG00156,"Bartz, Simeon, Hamilton, Kim, Crystal, Braun, Vicens, & Hollander (2011)",ENG,,,10.1093/scan/nsq085
Cues of being watched enhance cooperation in a real-world setting,ENG00157,"Bateson, Nettle, & Roberts (2006)",ENG,,,10.1098/rsbl.2006.0509
Empathy-induced altruism in a prisoner's dilemma II: what if the target of empathy has defected?,ENG00158,Batson & Ahmad (2001),ENG,,,10.1002/ejsp.26
Empathy-induced altruism in a prisoner's dilemma,ENG00159,Batson & Moran (1999),ENG,,,10.1002/(sici)1099-0992(199911)29:7<909::aid-ejsp965>3.0.co
Empathy and the Collective Good: Caring for One of the Others in a Social Dilemma,ENG00160,"Batson, Batson, Todd, Brummett, Shaw & Aldeguer (1995)",ENG,,,10.1037/0022-3514.68.4.619
The dynamic free rider problem: A laboratory study,ENG00161,"Battaglini, Nunnari, & Palfrey (2016)",ENG,,,10.2139/ssrn.2172902
Co-operative conflict resolution in institutionalized boy dyads,ENG00162,Bauer & Krivohlavy (1974),ENG,,,10.1111/j.1469-7610.1974.tb01200.x
Neural dynamics of social tie formation in economic decision-making,ENG00163,"Bault, Pelloux, Fahrenfort, Ridderinkhof & Van Winden (2014)",ENG,,,10.1093/scan/nsu138
Crowding and Personal Control: Social Density and the Development of Learned Helplessness,ENG00164,"Baum, Aiello, & Calesnick (1978)",ENG,,,10.1007/978-1-4613-2967-1_10
"Cooperation due to cultural norms, not individual reputation",ENG00165,"Baum, Paciotti, Richerson, Lubell & McElreath (2012)",ENG,,,10.1016/j.beproc.2012.06.001
The Mentalizing Network Orchestrates the Impact of Parochial Altruism on Social Norm Enforcement,ENG00166,"Baumgartner, Gotte, Gugler, & Fehr (2011)",ENG,,,10.1002/hbm.21298
Oxytocin Shapes the Neural Circuitry of Trust and Trust Adaptation in Humans,ENG00167,"Baumgartner, Heinrichs, Vonlanthen, Fischbacher & Fehr (2008)",ENG,,,10.1016/j.neuron.2008.04.009
Dorsolateral and ventromedial prefrontal cortex orchestrate normative choice,ENG00168,"Baumgartner, Knoch, Hotz, Eisenegger & Fehr (2011)",ENG,,,10.1038/nn.2933
The geography of ethnocentrism,ENG00169,Bausch (2015),ENG,,,10.1177/0022002713515401
Prejudiced liberals? Race and information effects in two-person game,ENG00170,Baxter (1973),ENG,,,10.1177/002200277301700107
Cooperation and distributive conflict,ENG00171,Bayer (2016a),ENG,,,10.1016/j.geb.2016.04.002
Cooperation in Partnerships: The Role of Breakups and Reputation,ENG00172,Bayer (2016b),ENG,,,10.1628/093245616x14610627109836
Confusion and learning in the voluntary contributions game,ENG00173,"Bayer, Renner & Sausgruber (2013)",ENG,,,10.1007/s10683-012-9348-2
Does a membership fee foster successful public good provision? An experimental investigation of the provision of a step-level collective good,ENG00174,Bchir & Willinger (2013),ENG,,,10.1007/s11127-012-9929-9
Social capital dynamics and collective action: the role of subjective satisfaction in a common pool resource experiment,ENG00175,"Becchetti, Castriota, & Conzo (2016)",ENG,,,10.1017/S1355770X15000340
Public disclosure of players' conduct and common resources harvesting: experimental evidence from a Nairobi slum,ENG00176,"Becchetti, Conzo & Antoni (2015)",ENG,,,10.2139/ssrn.1878513
Interpersonal competition and cooperation as a function of sex of subject and sex of counterpart,ENG00177,Becker & Miles (1978),ENG,,,10.1080/00224545.1978.9924076
"Cooperation of acting-out adolescents: reactions to the ""Lapsed Saint"" and ""Reformed Sinner"" strategies",ENG00178,Beckman & Bishop (1973),ENG,,,10.1002/1097-4679(197307)29:3<322::aid-jclp2270290312>3.0.co;2-u
"Power, opportunity costs, and sex in a mixed-motive game",ENG00179,Bedell & Sistrunk (1973),ENG,,,10.1037/h0033947
Costs for switching partners reduce network dynamics but not cooperative behaviour,ENG00180,"Bednarik, Fehl, & Semmann (2015)",ENG,,,10.1098/rspb.2014.1661
"Corruption, investments and contributions to public goods: Experimental evidence from rural Liberia",ENG00181,"Beekman, Bulte & Nillesen (2014)",ENG,,,10.1016/j.jpubeco.2014.04.004
The effect of conflict history on cooperation within and between groups: Evidence from a laboratory experiment,ENG00182,"Beekman, Cheung, & Levely (2017)",ENG,,,10.1016/j.joep.2017.02.004
The implicit cognition of reciprocal exchange: Automatic retrieval of positive and negative experiences with partners in a prisoner's dilemma game,ENG00183,"Bell, Koranyi, Buchner, & Rothermund (2017)",ENG,,,10.1080/02699931.2016.1147423
Separating conditional and unconditional cooperation in a sequential Prisoner's Dilemma game,ENG00184,"Bell, Mieth, & Buchner (2017)",ENG,,,10.1371/journal.pone.0187952
Event‐related potentials in response to cheating and cooperation in a social dilemma game,ENG00185,"Bell, Sasse, Möller, Czernochowski, Mayr, & Buchner (2016)",ENG,,,10.1111/psyp.12561
Promises and cooperation: Evidence from a TV game show,ENG00186,"Belot, Bhaskar & Van de Ven (2010)",ENG,,,10.1016/j.jebo.2010.01.001
A comprehensive comparison of students and non-students in classic experimental games,ENG00187,"Belot, Duch & Miller (2015)",ENG,,,10.1016/j.jebo.2015.02.007
When in Doubt Cooperation in a Noisy Prisoner's Dilemma,ENG00188,"Bendor, Kramer & Stout (1991)",ENG,,,10.1177/0022002791035004007
Children's altruistic behavior in the dictator game,ENG00189,"Benenson, Pascoe & Radmore (2007)",ENG,,,10.1016/j.evolhumbehav.2006.10.003
"Personality Patterns Related to Own-, Joint-, and Relative-Gain Maximizing Behaviors",ENG00190,Benett & Carbonari (1976),ENG,,,10.1037/0022-3514.34.6.1127
Religious identity and economic behavior,ENG00191,"Benjamin, Choi, & Fisher (2016)",ENG,,,10.1162/REST_a_00586
